id;name;birth_date;height;weight;baskets;assists
1;Massachusetts Borders Bacon;2022-09-07;39196;58342;34390;33167
2;online Cyprus Supervisor;2022-09-06;50139;1297;22007;87503
3;Plaza Burundi;2022-09-07;14984;78158;5097;23374
4;Delaware;2022-09-06;14455;61646;55603;35546
5;generation;2022-09-06;82428;65861;88525;79777
6;SAS support;2022-09-07;97234;39519;57697;34133
7;Kansas Brand;2022-09-07;93444;8316;9663;64148
8;back alarm RAM;2022-09-07;14887;91721;71591;84580
9;bottom-line 24/365;2022-09-06;14593;90248;83482;40409
10;out-of-the-box View Branding;2022-09-07;9543;39486;74610;4517
